GEOM, DLIB_281, DLIB_295, DLIB_361, DLIB_J2, ENDF70_172, ENDF70_281, ENDF70_295, ENDF70_361, ENDF71_172, ENDF71_281, ENDF71_295, ENDF71_361, ENDF80_361, J31_361, J33_361, E70_172W, E71_172W, E80_172W, J31_172W, J40_172W, J411172W, J41_172W
Pin1A, -116.179219074, 43.6093010725, 50.2601404253, -403.428128841, -1040.14076207, -685.709956054, -472.967284605, -466.063881733, -1052.76893805, -698.33813204, -485.595460592, -478.692057719, -502.769779933, -554.208550117, -507.568486808, -398.292670607, -404.01744372, -387.937566298, -450.82588271, 47.9028809079, 44.4511794716, 44.7879308313
Pin1B, -91.3828739534, 84.2818920735, 89.692163982, -391.991106866, -1139.36944972, -759.382383647, -525.557194605, -520.738671187, -1149.42917405, -769.442107977, -535.616918935, -530.713860018, -563.09095597, -615.67203608, -562.330136483, -404.586896152, -408.221922591, -397.485914273, -461.310215692, 67.7129343539, 63.9933724169, 64.3315144112
Pin1C, -138.606226959, 54.3336409681, 63.6309201918, -476.80542074, -1229.88503786, -819.525309924, -577.710753967, -567.816401765, -1239.35290937, -829.078477566, -587.263921609, -577.369569408, -601.593673074, -658.742086651, -598.778900465, -377.264825749, -380.591375196, -359.779117117, -431.342578298, 107.7290244, 103.975994254, 104.317178813
Pin1D, -159.652667326, 45.5659201307, 65.5977303013, -525.38365645, -1307.22606715, -857.92889997, -601.814039462, -580.836521515, -1316.33925117, -867.042083996, -610.927223488, -589.863732107, -611.271117225, -675.063405408, -613.850320251, -359.540901861, -362.463998624, -325.065554744, -411.038988952, 146.756652194, 143.059794524, 143.40368826
ASSBLY2A, 281.043988795, -80.9988391294, 374.218018775, 108.646668352, -421.65053313, -181.528713581, -0.0845499364725, -38.8929707719, -437.292271375, -197.339551699, -15.8108381181, -54.5347090172, -55.8875080005, -121.751908503, -61.2141539976, -300.659574054, -306.408969734, -269.545197437, -355.363382944, 131.39060126, 128.346803547, 128.76955323
ASSBLY2B, 324.737570659, -112.412407424, 424.143583836, 127.614686415, -499.986064578, -222.206644578, -26.6039882334, -68.2413412464, -513.668115669, -235.973152775, -40.3704964304, -81.9233923379, -94.4230439523, -156.836844919, -90.3691028882, -339.602021227, -344.753904663, -317.38980248, -398.215252446, 114.608292168, 111.230007947, 111.652293475
ASSBLY2C, 321.090840354, -126.358739614, 424.630077127, 170.209649925, -461.32860595, -236.198883888, -43.8509103108, -84.6365142698, -474.781894938, -249.652172876, -57.3041992994, -98.0046558598, -104.305563361, -170.209649925, -97.7492136638, -253.313511019, -258.33720754, -221.127794325, -309.85138373, 213.80511804, 210.484369492, 210.910106485
ASSBLY2D, 324.061409594, -121.769569099, 433.311008912, 210.60990261, -445.230706169, -248.684331258, -38.5889479538, -87.897048117, -458.350948473, -261.804573562, -51.7091902581, -100.931537204, -104.01865304, -175.536836581, -102.132082251, -201.177048666, -206.064982073, -153.755519291, -255.801848325, 285.729721293, 282.385345804, 282.728358675
ASSBLY2E, 10165.2496494, 9740.00435335, 10271.1872957, 9975.32792559, 9322.6062903, 9594.55028348, 9799.51253736, 9756.44617499, 9306.44472699, 9578.4821396, 9783.63123236, 9740.56486999, 9746.63713367, 9666.38983372, 9754.57778616, 9431.06626148, 9425.36767557, 9475.1602377, 9372.21201355, 9934.41021037, 9930.95369105, 9938.98776299
ASSBLY2G, -2234.9735527, -1685.4325535, -817.311089026, 127.632366033, -3806.82166088, -2999.837501, -1443.48567418, -1447.7365538, -3672.45382909, -2879.37628645, -1377.90908534, -1382.14818967, -1196.44009439, -1722.97217735, -1274.20410816, -1306.15046936, -1216.35210943, -957.013127093, -1595.10430552, -538.860811365, -541.934162, -549.729403841
ASSBLY2H, -37.6070280824, -798.560549848, 56.0433354522, -234.303181023, -1070.49608355, -846.512676228, -667.721014098, -692.247887295, -1063.73441588, -839.991592233, -660.364218369, -684.865766968, -536.045766614, -821.973140731, -541.883086461, -2203.99976701, -2160.75801587, -1947.77814639, -2279.07453789, -1592.36007526, -1595.37370243, -1601.27433377
ASSBLY2I, 296.04569353, -88.1784168713, 390.238200313, 127.397059534, -433.014473627, -190.163828892, -7.96231622085, -46.5033149494, -448.515578611, -205.749639366, -23.463421204, -61.9197144408, -54.2962201868, -129.260580351, -47.51978085, -292.149240912, -298.332741807, -251.49060489, -346.868988557, 162.549838594, 159.4157354, 160.771023268
ASSBLY2O, 47.5978354908, -453.657927043, 194.874504825, -174.080260062, -864.582727232, -576.229507415, -355.600662745, -377.92109061, -891.100158628, -602.746938811, -382.213480585, -404.438522006, -271.755978584, -478.649175336, -238.847655449, -1060.98341516, -1081.3007277, -899.78032502, -1134.71713627, -472.925988704, -475.882968464, -475.596809133
ASSBLY2P, 630.948955764, 7.62931856607, 827.651753935, 361.530561994, -464.569466131, -133.254453938, 123.685478109, 116.411763375, -500.539332478, -169.288975527, 87.5755254047, 80.3341382911, 310.021885799, -2.62931317814, 369.213759929, -922.037631506, -955.690685012, -669.569687036, -1016.58514718, -230.355851677, -233.319216939, -233.103699465
